"match_id","team_id","team_name","player_id","player_name","player_position","player_minutesPlayed","player_index_score","tackles","tackle_errors","carries","carry_errors","metres_carried","passes","pass_errors","tries_scored","ruck_entries","ruck_errors","lineout_throws","lineout_throw_errors","lineout_contests_won","lineout_contest_errors","goal_kicks_made","goal_kicks_errors","kicks","kick_errors","reception_success","reception_failure"
271736,4581,"Bristol Bears",126962,"Jake Heenan","flanker",8,91.25,2,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
271736,4293,"Gloucester Rugby",164903,"Ben Morgan","number eight",56,56.98,8,4,7,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,2,0
271736,4293,"Gloucester Rugby",182760,"Mayco Vivas","loosehead prop",40,71.96,7,1,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
271736,4293,"Gloucester Rugby",163400,"George McGuigan","hooker",61,87.2,14,0,3,0,0,3,0,0,14,0,6,1,0,0,0,0,0,0,1,0
271736,4293,"Gloucester Rugby",203694,"Freddie Clarke","second row",80,78.05,15,0,4,2,0,14,0,0,11,2,0,0,6,0,0,0,0,0,2,0
271736,4293,"Gloucester Rugby",117823,"Matias Alemanno","second row",61,72.55,12,1,1,0,0,1,0,0,4,0,0,0,4,0,0,0,1,0,0,0
271736,4293,"Gloucester Rugby",110891,"Steve Varney","scrum half",80,55.62,10,5,2,1,0,60,1,0,0,1,0,0,0,0,0,0,10,0,7,1
271736,4293,"Gloucester Rugby",124069,"Ollie Thorley","left wing",80,66.67,10,2,8,2,0,5,0,1,7,2,0,0,0,0,0,0,0,1,4,0
271736,4293,"Gloucester Rugby",196656,"Chris Harris","outside centre",76,62.72,18,2,5,0,0,8,0,0,7,1,0,0,0,0,0,0,0,0,0,0
271736,4293,"Gloucester Rugby",109648,"Seb Atkinson","inside centre",80,88.14,11,1,7,1,0,23,0,0,11,0,1,0,0,0,0,0,2,0,5,1
271736,4293,"Gloucester Rugby",201234,"Kirill Gotovtsev","tighthead prop",61,76.59,14,1,3,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0
271736,4293,"Gloucester Rugby",133065,"Adam Hastings","fly half",80,57.15,8,5,5,2,0,24,0,0,3,0,0,0,0,0,1,0,5,0,3,0
271736,4293,"Gloucester Rugby",113799,"Jack Clement","flanker",80,67.66,11,5,10,2,0,14,0,0,9,0,0,0,0,0,0,0,0,0,2,0
271736,4293,"Gloucester Rugby",209756,"Lewis Ludlow","flanker",80,65.49,8,3,3,1,0,2,0,0,23,0,0,0,3,0,0,0,0,0,1,0
271736,4293,"Gloucester Rugby",183146,"Jonny May","right wing",80,70.96,7,0,7,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
271736,4293,"Gloucester Rugby",189982,"Santiago Carreras","full back",61,59.29,6,0,6,2,0,10,0,0,1,1,0,0,0,0,0,0,6,0,6,1
271736,4293,"Gloucester Rugby",213184,"Val Rapava Ruskin","loosehead prop",40,96.05,5,1,4,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,1,0
271736,4293,"Gloucester Rugby",196875,"Freddie Thomas","number eight",24,54.8,3,3,3,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,1,0
271736,4293,"Gloucester Rugby",137490,"Seb Blake","hooker",19,64.06,3,0,3,0,0,1,0,0,2,0,8,0,0,0,0,0,0,0,0,1
